ri modes cells dofs u_L2_norm l2d u_Linfty_norm  infdif  u_H1_norm    h1dif lambda_norm lambda1  lambda2 lambda3 lambda4 lambda5 lambda6 lambda7 lambda8 lambda9 lambda10 lambda11 lambda12 lambda13 lambda14 lambda15 lambda16 lambda17 lambda18 lambda19 lambda20 lambda21 lambda22 lambda23 lambda24 lambda25 lambda26 lambda27 lambda28 lambda29 lambda30 lambda31 lambda32
0.1 6 10690 22110 5.095e-02 0.05 1.115e-01 -0.03 5.155e-01 0.03 125, -6.314e+01 2.340e-01 -3.339e-02 -6.162e+01 -3.031e-04 5.922e-05 3.437e-05 2.137e-04 3.909e-05 -1.973e-06 2.161e-06 -4.525e-05  NA NA NA NA -6.323e+01 -2.732e-01 1.498e-03 -6.162e+01 3.319e-04 4.003e-05 2.740e-05 -1.912e-04 4.682e-05 1.310e-06 -2.592e-06 -4.543e-05 
0.1 8   256   578 8.066e-02    - 1.547e-01     - 7.036e-01    - 183.443, -5.715e+01 -8.855e+00 7.338e+00 -1.036e+02 6.289e+00 -5.589e+00 -1.797e+00 -1.929e+00 -6.069e-03 1.196e-03 -6.864e-04 5.246e-03 8.297e-06 3.732e-05 4.412e-06 -2.199e-05 -1.103e+02 -3.574e+00 1.329e+01 -8.306e+01 -1.186e+01 -5.875e+00 -2.559e+00 3.721e+00 1.284e-03 -1.163e-03 2.002e-03 7.329e-04 1.883e-06 4.193e-05 -6.255e-06 4.113e-05
0.1 8   661  1442 5.986e-02 0.65 1.201e-01  0.55 5.698e-01 0.46 149, -7.631e+01 1.784e-01 -2.181e-01 -7.400e+01 -2.928e-04 8.591e-05 -1.029e-03 -8.189e-04 2.272e-04 -2.363e-05 2.171e-05 -2.589e-04 2.758e-05 2.630e-05 2.300e-05 -2.223e-05 -7.274e+01 -5.800e-01 -1.840e-01 -7.472e+01 8.409e-04 1.258e-04 -5.606e-04 -1.017e-03 -4.447e-04 -1.011e-05 3.004e-05 -1.874e-04 2.979e-05 1.795e-05 1.991e-05 -1.562e-05 
0.1 8  1675  3562 5.498e-02 0.19 1.139e-01  0.12 5.393e-01 0.12 135, -6.882e+01 3.137e-01 -4.844e-03 -6.700e+01 -4.502e-04 1.996e-04 2.636e-04 4.361e-04 1.972e-04 3.756e-06 -5.189e-06 -2.177e-04 -7.331e-06 -6.951e-06 -3.709e-06 3.702e-06 -6.788e+01 -3.753e-01 -4.720e-02 -6.700e+01 1.111e-03 2.110e-04 1.695e-04 -6.370e-04 8.881e-06 -1.107e-05 6.134e-06 -2.527e-04 1.911e-05 -5.984e-06 -3.887e-06 -6.205e-06 
0.1 8  4252  8892 5.209e-02 0.12 1.099e-01  0.08 5.222e-01 0.07 128, -6.467e+01 2.291e-01 -5.196e-02 -6.307e+01 2.663e-04 -4.990e-04 -4.975e-05 1.329e-04 8.339e-05 -6.790e-06 7.040e-06 -9.536e-05 6.357e-06 6.171e-06 -6.653e-07 7.098e-07 -6.467e+01 -3.065e-01 -1.898e-02 -6.308e+01 5.696e-04 -4.836e-04 1.925e-06 -1.924e-04 5.895e-05 -3.944e-06 2.581e-06 -7.757e-05 5.741e-06 5.789e-06 -3.526e-07 -2.153e-07 
0.1 8 10690 22110 5.095e-02 0.05 1.115e-01 -0.03 5.155e-01 0.03 125, -6.314e+01 2.340e-01 -3.339e-02 -6.162e+01 -3.031e-04 5.922e-05 3.437e-05 2.137e-04 3.909e-05 -1.973e-06 2.161e-06 -4.525e-05 -1.864e-06 -1.731e-06 7.360e-08 -5.954e-09 -6.323e+01 -2.732e-01 1.498e-03 -6.162e+01 3.319e-04 4.003e-05 2.740e-05 -1.912e-04 4.682e-05 1.310e-06 -2.592e-06 -4.543e-05 2.451e-06 -1.592e-06 -1.763e-07 -1.885e-08 
0.2 2   256   578 9.623e-02    - 1.458e-01    - 5.902e-01    - 39.0355, -2.056e+01 1.762e-01 5.613e-03 -1.756e+01  NA NA NA NA NA NA NA NA NA NA NA NA -2.195e+01 -2.753e-01 -4.760e-02 -1.762e+01 
0.2 2   676  1476 9.106e-02 0.12 1.368e-01 0.14 5.641e-01 0.10 35.9, -1.899e+01 2.170e-01 5.847e-02 -1.665e+01  NA NA NA NA NA NA NA NA NA NA NA NA -1.939e+01 -2.527e-01 -7.110e-02 -1.667e+01 
0.2 2  1717  3658 8.739e-02 0.09 1.307e-01 0.10 5.477e-01 0.06 34.1, -1.803e+01 1.838e-01 3.333e-02 -1.598e+01  NA NA NA NA NA NA NA NA NA NA NA NA -1.815e+01 -2.323e-01 -6.749e-02 -1.599e+01 
0.2 2  4339  9160 8.554e-02 0.05 1.283e-01 0.04 5.403e-01 0.03 33.3, -1.757e+01 1.778e-01 3.409e-02 -1.564e+01  NA NA NA NA NA NA NA NA NA NA NA NA -1.766e+01 -2.264e-01 -6.973e-02 -1.566e+01 
